                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                                     date 
                                     821                                      783                  1.0000000000000000E+000                  2.0000000000000000E-002                  4.5000000000000000E+009                  7.3833800635627016E+007                  5.7522400983116850E+003                  9.7378646195892260E-001                  9.9498536374880608E-001                 -1.5313625350973272E+000                  3.5731386713171748E-001                  8.6364448837915085E-006                  6.2217206120927160E-001                  2.0956593066445384E-005                  5.4516303977988024E-003                  8.8430633492741530E-003                  2.0994604783340916E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  6.6348026418200146E-001                  7.4891142765537043E-004                  3.1562580197970136E-001                  2.5661309735690021E-003                  2.0357798010286021E-003                  9.3533267620558597E-003                  2.0994604783340898E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999990217414E-001                  9.9478015406176890E-001                  9.9999999982695131E-001                  9.9466079974468624E-001                  9.9370759680385690E+003                  2.4226970706219938E+007                  1.0269191851243698E+010                  9.7366209396870351E-001                  9.7366209396870385E-001                  8.3365888903142835E-044                  2.3432293568625900E-002                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.4201167492800000E+017                                    11701                               "gfortran"                                  "8.3.0"                  "x86_64-linux-20190503"                               "20190601" 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                           diffusion_D_h1 
                                       1                  1.0000000000000000E+000                 -2.1833076863154799E-003                  3.7600500807565673E+000                 -6.7984858599054450E+000                  4.7659670283428710E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  0.0000000000000000E+000 
                                       2                  9.9999999999949996E-001                 -2.1839585190415681E-003                  3.7606378993226945E+000                 -6.7944221772518185E+000                  4.7706192676242622E+000                  7.0000000000000051E-001                  2.7999999999999969E-001                  1.9999999999999796E-002                  0.0000000000000000E+000 
                                       3                  9.9999999999862488E-001                 -2.1850868757541781E-003                  3.7613956054761779E+000                 -6.7893309096109453E+000                  4.7764691835371291E+000                  7.0000000000000051E-001                  2.7999999999999969E-001                  1.9999999999999796E-002                  0.0000000000000000E+000 
                                       4                  9.9999999999775002E-001                 -2.1862020905303501E-003                  3.7626007596741804E+000                 -6.7815011372841596E+000                  4.7855056983131226E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  0.0000000000000000E+000 
                                       5                  9.9999999999587508E-001                 -2.1885491665417662E-003                  3.7654135122585606E+000                 -6.7644542271320605E+000                  4.8053701762378633E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  0.0000000000000000E+000 
                                       6                  9.9999999999150013E-001                 -2.1938150161253927E-003                  3.7696188571500397E+000                 -6.7423011641883441E+000                  4.8317384106928420E+000                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                  0.0000000000000000E+000 
                                       7                  9.9999999998712508E-001                 -2.1988191715665868E-003                  3.7729871631347942E+000                 -6.7269024590880528E+000                  4.8505152577844504E+000                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                  0.0000000000000000E+000 
                                       8                  9.9999999998493772E-001                 -2.2012341497923481E-003                  3.7753044998724259E+000                 -6.7171454464017160E+000                  4.8625970557463685E+000                  7.0000000000000018E-001                  2.7999999999999997E-001                  1.9999999999999796E-002                  0.0000000000000000E+000 
                                       9                  9.9999999998275024E-001                 -2.2035955161508907E-003                  3.7790657785080883E+000                 -6.7025879507105151E+000                  4.8809290836350145E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  0.0000000000000000E+000 
                                      10                  9.9999999997806277E-001                 -2.2084889078005849E-003                  3.7832200697108238E+000                 -6.6887764386058040E+000                  4.8989109267638051E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  0.0000000000000000E+000 
